age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
33,management,married,tertiary,no,0,yes,no,cellular,28,July,3,-1,0,unknown,no
30,entrepreneur,married,secondary,no,-346,yes,yes,cellular,22,July,1,-1,0,unknown,no
44,technician,single,primary,no,237,yes,no,cellular,25,July,1,-1,0,unknown,no
33,admin.,single,secondary,no,61,no,no,cellular,24,July,4,-1,0,unknown,no
53,entrepreneur,single,unknown,no,717,no,no,cellular,30,July,2,-1,0,unknown,no
58,self-employed,married,secondary,no,9994,no,no,cellular,10,July,1,-1,0,unknown,no
37,admin.,married,secondary,no,1396,yes,no,cellular,22,July,2,-1,0,unknown,no
42,admin.,married,primary,no,-466,no,yes,telephone,31,July,15,-1,0,unknown,no
29,management,married,tertiary,no,0,yes,yes,cellular,15,July,1,-1,0,unknown,no
47,services,married,secondary,no,0,yes,no,telephone,9,July,1,-1,0,unknown,no
58,management,single,tertiary,no,342,no,yes,cellular,11,July,2,-1,0,unknown,no
47,technician,married,secondary,no,568,yes,no,telephone,14,July,2,-1,0,unknown,no
48,retired,married,tertiary,no,4,no,yes,cellular,23,July,5,-1,0,unknown,no
55,unknown,married,secondary,no,1157,no,no,cellular,12,July,1,412,2,failure,no
38,services,married,secondary,no,0,no,yes,cellular,16,July,6,-1,0,unknown,no
31,services,single,secondary,no,8,no,no,cellular,7,July,3,-1,0,unknown,no
35,admin.,married,secondary,no,1345,yes,no,cellular,23,July,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,108,yes,no,telephone,31,July,21,-1,0,unknown,no
32,technician,married,secondary,no,4790,yes,no,cellular,22,July,2,-1,0,unknown,no
27,housemaid,married,secondary,yes,65,yes,yes,cellular,17,July,1,-1,0,unknown,no
47,admin.,single,secondary,no,3696,no,no,cellular,12,July,2,181,4,success,yes
26,technician,single,secondary,no,33,no,no,cellular,23,July,7,-1,0,unknown,no
31,technician,married,secondary,no,-160,yes,no,cellular,14,July,6,-1,0,unknown,no
59,entrepreneur,married,tertiary,no,1728,no,no,cellular,7,July,2,-1,0,unknown,no
27,housemaid,married,primary,yes,-238,no,no,cellular,14,July,4,-1,0,unknown,no
35,admin.,divorced,secondary,no,0,no,yes,cellular,14,July,2,-1,0,unknown,no
30,services,single,secondary,no,0,yes,no,cellular,7,July,2,-1,0,unknown,no
30,services,single,secondary,no,-114,yes,no,cellular,21,July,2,-1,0,unknown,no
28,services,single,secondary,no,47,no,no,cellular,22,July,2,-1,0,unknown,no
37,management,married,tertiary,no,347,yes,no,cellular,22,July,1,-1,0,unknown,no
28,unemployed,married,secondary,no,-42,yes,yes,cellular,31,July,4,-1,0,unknown,no
45,management,married,tertiary,no,81,no,yes,cellular,30,July,3,-1,0,unknown,no
55,retired,married,tertiary,no,101,yes,no,cellular,9,July,1,-1,0,unknown,no
34,self-employed,married,secondary,no,179,yes,yes,cellular,24,July,4,-1,0,unknown,no
30,management,single,tertiary,yes,35,no,no,cellular,30,July,4,-1,0,unknown,no
36,self-employed,married,secondary,no,189,yes,no,cellular,22,July,1,-1,0,unknown,no
57,blue-collar,married,primary,yes,195,no,yes,telephone,30,July,4,-1,0,unknown,no
36,blue-collar,married,secondary,no,29,yes,yes,cellular,31,July,1,-1,0,unknown,no
40,management,married,tertiary,no,4381,no,no,telephone,29,July,2,-1,0,unknown,no
40,entrepreneur,married,secondary,no,1238,yes,no,telephone,21,July,2,-1,0,unknown,no
40,blue-collar,married,primary,no,13,yes,no,unknown,4,July,1,-1,0,unknown,no
59,management,married,tertiary,no,553,yes,no,cellular,7,July,3,-1,0,unknown,yes
32,admin.,married,secondary,no,1604,no,yes,cellular,7,July,1,-1,0,unknown,yes
50,management,married,tertiary,no,19,no,yes,cellular,23,July,1,-1,0,unknown,no
55,blue-collar,married,secondary,yes,67,no,no,cellular,8,July,2,-1,0,unknown,no
29,services,single,secondary,no,37,no,yes,cellular,17,July,2,-1,0,unknown,no
44,admin.,married,secondary,no,0,no,no,cellular,31,July,1,-1,0,unknown,no
49,technician,married,secondary,no,-142,yes,yes,cellular,23,July,4,-1,0,unknown,no
66,retired,divorced,unknown,no,53,no,no,cellular,12,July,4,-1,0,unknown,yes
51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,July,4,-1,0,unknown,yes
35,management,married,tertiary,no,648,no,no,cellular,30,July,2,-1,0,unknown,no
33,services,single,secondary,no,192,no,no,cellular,24,July,1,-1,0,unknown,no
45,services,married,secondary,no,27,yes,yes,cellular,31,July,2,-1,0,unknown,no
34,management,married,tertiary,no,13,yes,no,cellular,21,July,1,-1,0,unknown,no
33,admin.,married,tertiary,no,205,no,no,unknown,1,July,2,-1,0,unknown,no
36,management,married,tertiary,no,3770,yes,no,cellular,31,July,4,-1,0,unknown,no
57,retired,married,primary,no,1623,yes,yes,cellular,18,July,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,1513,no,yes,cellular,17,July,1,-1,0,unknown,no
45,management,married,tertiary,no,1300,no,no,cellular,30,July,3,-1,0,unknown,no
28,admin.,single,unknown,no,2736,no,no,cellular,8,July,1,-1,0,unknown,yes
33,admin.,married,secondary,no,82,yes,no,cellular,25,July,1,-1,0,unknown,yes
27,services,married,secondary,no,202,yes,no,telephone,8,July,2,-1,0,unknown,no
56,management,married,primary,no,405,no,no,cellular,21,July,2,-1,0,unknown,no
57,admin.,married,secondary,no,2137,no,no,telephone,8,July,7,-1,0,unknown,no
25,technician,single,secondary,no,102,no,yes,cellular,8,July,2,-1,0,unknown,yes
38,management,married,tertiary,no,2656,no,no,cellular,8,July,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,no,no,cellular,15,July,1,-1,0,unknown,no
39,services,married,secondary,no,2,yes,no,cellular,25,July,10,-1,0,unknown,no
32,management,divorced,tertiary,no,222,no,yes,cellular,15,July,4,-1,0,unknown,yes
29,management,married,tertiary,yes,53,yes,no,cellular,31,July,17,-1,0,unknown,no
43,management,married,tertiary,no,-391,yes,no,cellular,28,July,8,-1,0,unknown,no
49,unemployed,married,primary,yes,11,yes,no,telephone,31,July,8,-1,0,unknown,no
32,technician,married,secondary,no,348,yes,no,cellular,17,July,1,-1,0,unknown,yes
48,admin.,married,primary,no,3644,yes,yes,telephone,31,July,9,-1,0,unknown,yes
43,technician,divorced,unknown,no,4389,no,no,telephone,2,July,2,85,1,success,yes
54,technician,married,primary,no,3067,yes,no,telephone,29,July,3,-1,0,unknown,no
48,services,divorced,primary,no,2805,no,yes,cellular,23,July,2,-1,0,unknown,no
43,blue-collar,single,primary,no,-399,no,yes,cellular,28,July,3,-1,0,unknown,yes
34,management,married,tertiary,no,118,no,yes,telephone,17,July,3,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,22,July,1,-1,0,unknown,no
32,management,married,tertiary,no,663,no,yes,cellular,22,July,3,-1,0,unknown,no
52,retired,divorced,primary,no,353,no,no,cellular,31,July,4,-1,0,unknown,no
28,admin.,single,secondary,no,144,no,yes,cellular,8,July,1,-1,0,unknown,no
43,management,married,tertiary,no,0,no,no,cellular,14,July,3,-1,0,unknown,yes
51,housemaid,married,unknown,no,174,no,no,telephone,29,July,3,-1,0,unknown,no
53,self-employed,married,tertiary,no,290,no,yes,cellular,24,July,3,-1,0,unknown,no
38,unemployed,married,secondary,no,0,no,no,cellular,24,July,2,-1,0,unknown,no
57,management,married,tertiary,no,1410,yes,no,cellular,10,July,1,-1,0,unknown,no
52,management,single,tertiary,no,4,no,yes,cellular,28,July,9,-1,0,unknown,no
42,management,divorced,secondary,no,-272,no,no,cellular,8,July,1,-1,0,unknown,no
30,services,single,secondary,no,1824,yes,no,cellular,21,July,2,-1,0,unknown,no
35,admin.,single,secondary,no,507,yes,no,cellular,22,July,2,-1,0,unknown,yes
38,entrepreneur,married,tertiary,no,4,yes,no,cellular,16,July,1,-1,0,unknown,no
27,admin.,single,unknown,no,5,yes,no,cellular,17,July,2,-1,0,unknown,no
28,admin.,single,tertiary,no,1104,yes,no,cellular,28,July,7,-1,0,unknown,no
60,entrepreneur,married,primary,no,83,yes,no,cellular,17,July,2,-1,0,unknown,no
32,management,single,tertiary,no,2551,yes,no,cellular,21,July,3,-1,0,unknown,yes
52,retired,married,tertiary,no,350,no,yes,cellular,9,July,1,-1,0,unknown,no
46,blue-collar,divorced,primary,no,2775,no,yes,cellular,8,July,1,-1,0,unknown,no
28,admin.,single,unknown,no,24,yes,no,cellular,18,July,2,-1,0,unknown,yes
40,services,divorced,secondary,no,160,no,no,cellular,14,July,3,-1,0,unknown,no
46,unknown,married,unknown,no,2911,no,no,telephone,7,July,9,-1,0,unknown,no
25,student,married,tertiary,no,10,yes,no,cellular,21,July,4,-1,0,unknown,yes
58,retired,married,primary,no,282,yes,no,cellular,28,July,4,-1,0,unknown,no
29,services,married,secondary,no,57,yes,no,telephone,21,July,9,-1,0,unknown,no
39,blue-collar,married,secondary,no,2467,no,no,cellular,19,July,2,276,3,other,yes
49,technician,married,secondary,no,3144,no,no,cellular,31,July,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,183,yes,no,cellular,18,July,1,-1,0,unknown,yes
35,services,divorced,secondary,no,-504,no,no,cellular,10,July,1,-1,0,unknown,no
42,technician,divorced,secondary,no,-78,yes,yes,cellular,29,July,23,-1,0,unknown,no
50,housemaid,married,tertiary,no,5260,yes,no,cellular,24,July,2,-1,0,unknown,no
54,technician,single,tertiary,no,467,yes,no,cellular,18,July,3,-1,0,unknown,yes
27,technician,single,secondary,yes,0,no,yes,cellular,8,July,1,-1,0,unknown,yes
67,admin.,married,primary,no,1093,no,no,telephone,8,July,3,-1,0,unknown,no
27,services,single,secondary,no,-151,no,no,cellular,8,July,2,-1,0,unknown,no
34,blue-collar,married,primary,no,425,yes,no,cellular,16,July,7,-1,0,unknown,no
57,admin.,married,primary,no,215,yes,yes,cellular,17,July,2,-1,0,unknown,no
41,admin.,married,secondary,no,120,no,yes,cellular,8,July,1,-1,0,unknown,no
47,admin.,married,secondary,no,3676,no,no,cellular,15,July,2,342,1,other,yes
55,management,single,tertiary,no,797,no,no,cellular,29,July,2,-1,0,unknown,no
37,services,married,secondary,no,0,yes,no,cellular,14,July,4,-1,0,unknown,no
26,student,single,tertiary,no,10086,no,no,cellular,8,July,3,78,2,success,no
46,blue-collar,divorced,secondary,no,709,yes,no,cellular,18,July,4,-1,0,unknown,no
28,admin.,single,secondary,no,-126,no,yes,cellular,8,July,4,-1,0,unknown,no
30,management,single,tertiary,no,536,no,no,cellular,2,July,1,-1,0,unknown,yes
37,management,married,tertiary,no,0,no,no,cellular,16,July,2,182,3,success,yes
34,services,single,secondary,no,313,yes,no,cellular,14,July,3,-1,0,unknown,no
53,services,married,primary,no,8918,yes,no,telephone,23,July,2,-1,0,unknown,no
31,blue-collar,married,primary,no,-537,yes,yes,cellular,21,July,7,-1,0,unknown,yes
44,entrepreneur,divorced,secondary,no,1,no,no,cellular,31,July,4,-1,0,unknown,no
49,housemaid,married,primary,no,78,no,no,telephone,10,July,1,-1,0,unknown,no
37,unemployed,single,secondary,no,48,no,no,cellular,31,July,10,-1,0,unknown,no
45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,July,3,-1,0,unknown,no
42,technician,married,secondary,no,1812,yes,no,cellular,31,July,2,-1,0,unknown,no
34,technician,married,secondary,no,652,yes,yes,cellular,18,July,4,-1,0,unknown,no
38,technician,divorced,secondary,no,-397,yes,yes,cellular,21,July,9,-1,0,unknown,no
41,technician,married,secondary,no,188,no,yes,telephone,31,July,25,-1,0,unknown,no
50,technician,married,secondary,no,778,no,no,cellular,23,July,1,-1,0,unknown,no
59,retired,married,secondary,no,163,no,no,cellular,24,July,1,-1,0,unknown,no
26,technician,single,secondary,yes,-454,no,yes,cellular,18,July,2,-1,0,unknown,no
51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,July,4,-1,0,unknown,yes
54,services,married,secondary,no,171,no,yes,cellular,14,July,8,-1,0,unknown,no
30,services,divorced,primary,no,459,yes,no,cellular,18,July,1,-1,0,unknown,yes
53,management,married,tertiary,no,0,yes,no,cellular,14,July,3,-1,0,unknown,no
57,retired,married,tertiary,no,11254,no,no,cellular,30,July,2,-1,0,unknown,no
36,technician,married,secondary,no,-179,yes,no,cellular,17,July,1,-1,0,unknown,no
40,admin.,married,secondary,no,1412,no,no,cellular,31,July,3,-1,0,unknown,no
40,management,married,tertiary,no,294,yes,no,cellular,23,July,5,-1,0,unknown,no
31,technician,married,secondary,yes,-367,yes,no,cellular,18,July,2,-1,0,unknown,yes
41,entrepreneur,single,primary,no,7264,no,yes,unknown,1,July,3,-1,0,unknown,no
58,management,married,tertiary,no,2183,yes,no,cellular,22,July,1,-1,0,unknown,no
47,housemaid,married,secondary,yes,-1531,yes,no,cellular,31,July,8,-1,0,unknown,no
35,self-employed,divorced,secondary,no,3443,no,no,cellular,30,July,4,-1,0,unknown,no
30,admin.,single,secondary,no,98,yes,no,cellular,23,July,5,-1,0,unknown,no
27,technician,single,secondary,no,489,yes,no,cellular,30,July,4,-1,0,unknown,yes
50,unemployed,married,secondary,no,297,yes,no,cellular,31,July,10,-1,0,unknown,no
58,retired,married,tertiary,no,4048,no,yes,cellular,15,July,5,-1,0,unknown,no
39,technician,married,secondary,no,130,no,no,cellular,8,July,2,-1,0,unknown,no
28,management,single,tertiary,no,9314,no,no,cellular,2,July,2,-1,0,unknown,yes
26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,July,3,-1,0,unknown,yes
44,management,married,tertiary,no,284,yes,yes,cellular,10,July,5,-1,0,unknown,no
50,entrepreneur,divorced,tertiary,no,223,no,no,cellular,7,July,5,-1,0,unknown,no
31,services,single,tertiary,no,1626,no,no,unknown,31,July,1,-1,0,unknown,no
47,technician,married,secondary,no,2246,yes,no,cellular,10,July,1,-1,0,unknown,no
38,services,married,primary,no,0,no,no,cellular,28,July,3,-1,0,unknown,no
41,blue-collar,divorced,primary,no,664,no,yes,cellular,15,July,5,-1,0,unknown,yes
46,admin.,married,secondary,no,526,no,yes,cellular,31,July,3,-1,0,unknown,no
32,admin.,single,secondary,no,212,no,no,cellular,7,July,5,-1,0,unknown,yes
39,blue-collar,divorced,primary,no,3,no,yes,unknown,1,July,1,-1,0,unknown,no
43,technician,married,secondary,no,-754,yes,yes,cellular,9,July,3,-1,0,unknown,yes
56,management,married,tertiary,no,171,no,yes,telephone,17,July,2,-1,0,unknown,no
48,technician,divorced,tertiary,no,113,no,yes,cellular,22,July,1,-1,0,unknown,no
53,management,married,unknown,no,527,yes,no,cellular,23,July,3,-1,0,unknown,no
42,admin.,married,secondary,no,-1386,yes,yes,cellular,15,July,4,-1,0,unknown,no
41,entrepreneur,married,secondary,no,187,no,yes,cellular,21,July,1,-1,0,unknown,no
47,self-employed,married,tertiary,no,192,no,no,telephone,30,July,6,-1,0,unknown,no
52,services,married,secondary,no,657,no,no,telephone,7,July,2,460,2,failure,yes
29,management,single,tertiary,no,1808,no,no,cellular,7,July,2,433,1,success,yes
71,retired,divorced,unknown,no,392,no,no,telephone,7,July,2,-1,0,unknown,yes
47,management,single,tertiary,no,6651,no,no,cellular,8,July,1,412,2,failure,yes
40,admin.,single,tertiary,no,1005,yes,no,cellular,21,July,1,-1,0,unknown,no
70,retired,married,primary,no,2795,no,no,cellular,8,July,1,181,2,success,yes
28,management,single,tertiary,yes,1414,yes,no,cellular,8,July,1,521,1,failure,yes
31,self-employed,married,tertiary,no,2666,no,no,telephone,8,July,2,148,9,other,yes
33,entrepreneur,married,tertiary,no,114,no,yes,cellular,28,July,3,-1,0,unknown,no
80,retired,married,secondary,no,668,no,no,telephone,8,July,1,371,1,success,yes
29,management,single,tertiary,no,502,no,no,cellular,8,July,1,87,5,failure,yes
40,management,married,tertiary,no,30,yes,no,cellular,28,July,6,-1,0,unknown,no
27,blue-collar,married,secondary,no,0,yes,no,cellular,17,July,6,-1,0,unknown,no
23,student,single,secondary,no,1809,no,no,cellular,8,July,2,-1,0,unknown,yes
48,management,single,tertiary,no,159,no,no,telephone,7,July,1,251,6,success,yes
37,technician,married,secondary,no,432,yes,no,cellular,6,July,3,776,55,failure,yes
60,technician,married,secondary,no,259,no,no,cellular,6,July,1,386,2,success,yes
50,management,married,tertiary,no,6739,yes,no,cellular,14,July,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,192,no,no,telephone,4,July,2,-1,0,unknown,no
29,technician,single,tertiary,no,2485,no,no,telephone,24,July,6,-1,0,unknown,no
26,services,single,primary,no,179,yes,yes,cellular,28,July,4,-1,0,unknown,no
36,management,married,tertiary,no,2547,no,no,cellular,31,July,1,-1,0,unknown,no
59,retired,single,secondary,yes,-341,no,yes,cellular,14,July,3,-1,0,unknown,no
31,entrepreneur,single,secondary,no,379,yes,no,cellular,18,July,2,-1,0,unknown,no
56,technician,married,tertiary,no,1476,no,no,telephone,31,July,3,-1,0,unknown,no
59,housemaid,married,primary,no,-187,yes,no,telephone,21,July,7,-1,0,unknown,no
50,admin.,married,secondary,no,219,yes,no,cellular,15,July,7,-1,0,unknown,no
28,services,single,secondary,no,198,no,no,cellular,5,July,2,-1,0,unknown,yes
36,services,married,secondary,no,297,yes,yes,cellular,15,July,5,-1,0,unknown,no
30,technician,single,tertiary,no,0,yes,no,cellular,5,July,1,424,8,success,yes
24,admin.,single,tertiary,no,674,yes,no,cellular,6,July,1,-1,0,unknown,yes
47,management,married,tertiary,no,761,yes,no,cellular,11,July,2,-1,0,unknown,no
32,management,single,tertiary,no,623,no,no,cellular,6,July,3,194,2,failure,yes
46,management,divorced,tertiary,no,558,no,no,cellular,6,July,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,224,no,no,cellular,2,July,2,88,1,success,yes
31,student,single,secondary,no,3511,no,no,cellular,2,July,1,-1,0,unknown,yes
34,services,single,secondary,no,267,no,no,cellular,8,July,2,-1,0,unknown,yes
19,student,single,secondary,no,372,no,no,telephone,8,July,3,-1,0,unknown,yes
54,unemployed,single,tertiary,no,252,yes,no,cellular,21,July,1,-1,0,unknown,no
41,admin.,single,tertiary,no,982,no,no,cellular,23,July,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,2158,no,no,cellular,10,July,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,299,yes,no,cellular,15,July,4,-1,0,unknown,no
54,housemaid,married,primary,no,3304,no,yes,cellular,25,July,7,-1,0,unknown,no
25,blue-collar,single,secondary,no,76,no,yes,cellular,28,July,4,-1,0,unknown,no
25,blue-collar,single,secondary,no,1857,yes,no,cellular,13,July,2,91,10,success,yes
33,management,single,tertiary,no,1962,no,no,cellular,13,July,1,181,1,failure,yes
52,services,married,secondary,no,497,yes,no,telephone,15,July,5,-1,0,unknown,no
79,retired,divorced,primary,no,2787,no,no,telephone,13,July,1,377,1,success,yes
24,student,single,secondary,no,1123,no,no,cellular,13,July,1,412,1,other,yes
45,technician,single,secondary,no,586,no,yes,cellular,28,July,3,-1,0,unknown,no
29,blue-collar,married,primary,no,59,yes,yes,cellular,29,July,4,-1,0,unknown,no
28,management,single,secondary,no,-513,no,yes,cellular,29,July,8,-1,0,unknown,no
41,blue-collar,married,secondary,no,97,no,yes,cellular,8,July,2,-1,0,unknown,no
46,admin.,single,secondary,no,272,no,no,cellular,31,July,4,-1,0,unknown,no
65,retired,divorced,secondary,no,828,no,no,cellular,13,July,1,-1,0,unknown,yes
31,management,single,tertiary,no,2907,yes,no,cellular,12,July,1,194,3,failure,yes
57,retired,married,secondary,no,1044,no,no,telephone,12,July,1,182,3,success,yes
35,blue-collar,single,unknown,no,484,no,no,cellular,8,July,1,87,3,failure,yes
38,admin.,married,secondary,no,1767,yes,no,cellular,9,July,4,239,7,success,yes
32,technician,single,unknown,no,491,no,no,cellular,9,July,7,-1,0,unknown,yes
33,blue-collar,single,primary,no,777,no,no,cellular,7,July,1,-1,0,unknown,no
50,unknown,married,unknown,no,558,no,no,cellular,9,July,1,683,6,failure,yes
27,technician,single,secondary,no,337,no,no,unknown,9,July,1,-1,0,unknown,yes
53,admin.,single,secondary,no,654,no,no,unknown,10,July,1,-1,0,unknown,yes
69,retired,married,secondary,no,2473,no,no,cellular,8,July,3,-1,0,unknown,yes
35,self-employed,married,tertiary,no,2427,no,no,cellular,12,July,3,158,7,other,yes
26,blue-collar,single,secondary,no,-128,no,yes,cellular,8,July,2,-1,0,unknown,no
35,unknown,married,primary,no,634,no,no,cellular,7,July,2,-1,0,unknown,no
43,admin.,single,secondary,no,386,no,no,cellular,12,July,3,529,1,failure,yes
42,blue-collar,married,primary,no,704,yes,yes,telephone,31,July,10,-1,0,unknown,no
30,self-employed,single,tertiary,no,251,no,no,cellular,12,July,1,-1,0,unknown,yes
58,technician,married,secondary,no,0,yes,no,cellular,15,July,1,-1,0,unknown,no
35,admin.,divorced,secondary,no,0,no,no,cellular,30,July,6,-1,0,unknown,no
41,blue-collar,married,secondary,no,2717,yes,yes,cellular,24,July,2,-1,0,unknown,no
40,entrepreneur,single,secondary,no,5,no,yes,cellular,15,July,3,-1,0,unknown,no
26,blue-collar,single,secondary,no,463,no,yes,cellular,2,July,2,-1,0,unknown,yes
33,self-employed,married,secondary,no,215,yes,no,cellular,29,July,12,-1,0,unknown,no
28,blue-collar,single,secondary,no,643,no,no,cellular,3,July,2,-1,0,unknown,yes
24,management,single,tertiary,no,507,no,no,cellular,3,July,1,-1,0,unknown,yes
41,entrepreneur,married,primary,no,0,no,no,cellular,3,July,2,389,1,other,yes
54,admin.,married,secondary,no,1633,no,no,cellular,3,July,2,-1,0,unknown,yes
52,blue-collar,married,primary,no,1524,no,no,cellular,3,July,6,-1,0,unknown,yes
35,unemployed,single,primary,no,68,no,no,cellular,3,July,1,-1,0,unknown,yes
26,self-employed,single,tertiary,no,2857,no,no,cellular,3,July,1,-1,0,unknown,yes
30,unemployed,married,tertiary,no,330,no,no,cellular,3,July,1,80,1,success,yes
27,services,single,secondary,no,302,no,no,cellular,3,July,1,-1,0,unknown,yes
33,technician,married,tertiary,no,-482,yes,no,cellular,29,July,3,-1,0,unknown,no
33,services,married,secondary,no,-384,yes,no,cellular,9,July,1,-1,0,unknown,no
56,retired,married,secondary,no,1044,no,no,telephone,3,July,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,1329,no,no,cellular,3,July,2,-1,0,unknown,yes
56,blue-collar,married,primary,no,1137,no,no,telephone,2,July,1,-1,0,unknown,yes
45,admin.,married,unknown,no,5511,no,no,cellular,2,July,1,-1,0,unknown,yes
48,technician,married,secondary,no,862,no,no,cellular,30,July,2,-1,0,unknown,no
62,management,married,tertiary,no,2785,no,no,cellular,6,July,3,-1,0,unknown,yes
52,technician,married,secondary,no,137,no,no,cellular,6,July,2,-1,0,unknown,yes
23,services,single,secondary,no,870,no,no,cellular,6,July,4,-1,0,unknown,yes
58,retired,married,primary,no,565,no,no,telephone,7,July,1,-1,0,unknown,yes
27,student,single,secondary,no,111,no,no,cellular,7,July,2,-1,0,unknown,yes
38,unemployed,married,primary,no,7005,yes,no,cellular,7,July,1,412,1,failure,yes
37,management,married,tertiary,no,3737,no,no,cellular,7,July,1,-1,0,unknown,yes
37,management,married,tertiary,no,-57,yes,no,cellular,31,July,20,-1,0,unknown,no
57,retired,married,secondary,no,91,no,yes,unknown,3,July,3,-1,0,unknown,no
38,management,single,tertiary,no,633,no,no,cellular,9,July,3,-1,0,unknown,no
33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,July,2,-1,0,unknown,no
66,retired,married,secondary,no,203,no,no,cellular,7,July,1,-1,0,unknown,yes
37,services,married,secondary,no,981,no,no,cellular,7,July,2,386,1,success,yes
20,student,single,primary,no,134,no,no,cellular,12,July,1,277,3,other,no
31,management,married,tertiary,no,1032,no,no,cellular,7,July,1,-1,0,unknown,yes
32,admin.,married,secondary,no,51,yes,yes,cellular,7,July,1,-1,0,unknown,yes
33,services,divorced,unknown,no,392,yes,no,cellular,15,July,4,-1,0,unknown,no
